	tissue	substance_name	pktype	unit	interventions	individual_pk	value	group_pk	mean	se	cv	time_unit	time	sd	figure	auc_end	kel	max	min	median	category	route	unit_intervention	substance_name_intervention	time_unit_intervention	value_intervention	time_intervention	form	application	choice	se_intervention	min_intervention	max_intervention	study	subject_pk	subject_name	('general', 'group_count')	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('sex', 'choice')	('sex', 'count')	('age', 'count')	('age', 'cv')	('age', 'max')	('age', 'mean')	('age', 'median')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('weight', 'count')	('weight', 'cv')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('medication', 'choice')	('medication', 'count')	('smoking', 'choice')	('smoking', 'count')	('abstinence', 'choice')	('abstinence', 'count')	('abstinence', 'mean')	('abstinence', 'min')	('abstinence', 'unit')	('overnight fast', 'choice')	('overnight fast', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('bmi', 'count')	('bmi', 'cv')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'median')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'se')	('bmi', 'unit')	('disease', 'choice')	('disease', 'count')	('fasted', 'count')	('fasted', 'max')	('fasted', 'mean')	('fasted', 'min')	('fasted', 'unit')	('phenotype', 'choice')	('phenotype', 'count')	('glucose', 'count')	('glucose', 'cv')	('glucose', 'max')	('glucose', 'mean')	('glucose', 'min')	('glucose', 'sd')	('glucose', 'se')	('glucose', 'unit')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'cv')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'sd')	('smoking amount (cigarettes)', 'se')	('smoking amount (cigarettes)', 'unit')	('alcohol abstinence', 'choice')	('alcohol abstinence', 'count')	('alcohol abstinence', 'min')	('alcohol abstinence', 'unit')	('height', 'count')	('height', 'cv')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'se')	('height', 'unit')	('HbA1c', 'count')	('HbA1c', 'cv')	('HbA1c', 'max')	('HbA1c', 'mean')	('HbA1c', 'min')	('HbA1c', 'se')	('HbA1c', 'unit')	('insulin', 'count')	('insulin', 'cv')	('insulin', 'mean')	('insulin', 'sd')	('insulin', 'se')	('insulin', 'unit')	('consumption', 'choice')	('consumption', 'count')	('consumption', 'cv')	('consumption', 'max')	('consumption', 'mean')	('consumption', 'min')	('consumption', 'sd')	('consumption', 'se')	('consumption', 'unit')	('obesity index', 'count')	('obesity index', 'cv')	('obesity index', 'max')	('obesity index', 'mean')	('obesity index', 'min')	('obesity index', 'sd')	('obesity index', 'se')	('obesity index', 'unit')	('caffeine amount', 'count')	('caffeine amount', 'cv')	('caffeine amount', 'max')	('caffeine amount', 'mean')	('caffeine amount', 'min')	('caffeine amount', 'sd')	('caffeine amount', 'se')	('caffeine amount', 'unit')	('disease duration', 'count')	('disease duration', 'cv')	('disease duration', 'max')	('disease duration', 'mean')	('disease duration', 'min')	('disease duration', 'sd')	('disease duration', 'se')	('disease duration', 'unit')	('CYP2D6 genotype', 'choice')	('CYP2D6 genotype', 'count')	('triglyceride', 'count')	('triglyceride', 'cv')	('triglyceride', 'mean')	('triglyceride', 'se')	('triglyceride', 'unit')	('LDL-H', 'count')	('LDL-H', 'cv')	('LDL-H', 'mean')	('LDL-H', 'se')	('LDL-H', 'unit')	('LDL-C', 'count')	('LDL-C', 'cv')	('LDL-C', 'mean')	('LDL-C', 'se')	('LDL-C', 'unit')	('cholesterol', 'count')	('cholesterol', 'cv')	('cholesterol', 'mean')	('cholesterol', 'se')	('cholesterol', 'unit')	('body surface area', 'count')	('body surface area', 'cv')	('body surface area', 'max')	('body surface area', 'mean')	('body surface area', 'min')	('body surface area', 'sd')	('body surface area', 'se')	('body surface area', 'unit')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('percent fat', 'count')	('percent fat', 'cv')	('percent fat', 'mean')	('percent fat', 'sd')	('percent fat', 'se')	('percent fat', 'unit')	('obese', 'choice')	('obese', 'count')	('glucagon', 'count')	('glucagon', 'cv')	('glucagon', 'mean')	('glucagon', 'sd')	('glucagon', 'se')	('glucagon', 'unit')	('smoking duration (years)', 'count')	('smoking duration (years)', 'mean')	('smoking duration (years)', 'min')	('smoking duration (years)', 'unit')	('genetics', 'choice')	('genetics', 'count')	('caffeine', 'choice')	('caffeine', 'count')	('muscle weight', 'count')	('muscle weight', 'cv')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'se')	('muscle weight', 'unit')	('medication type', 'choice')	('medication type', 'count')	('lean body mass', 'count')	('lean body mass', 'cv')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'se')	('lean body mass', 'unit')	('fat weight', 'count')	('fat weight', 'cv')	('fat weight', 'mean')	('fat weight', 'se')	('fat weight', 'unit')	('metabolic ratio', 'count')	('metabolic ratio', 'max')	('metabolic ratio', 'mean')	('metabolic ratio', 'min')	('metabolic ratio', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')	('caffeine amount (beverages)', 'count')	('caffeine amount (beverages)', 'max')	('caffeine amount (beverages)', 'unit')
0	plasma	caffeine	clearance	l/h	1426			659.0	9.07	0.782	0.273			2.47							dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					Beach1986	659	control	10	homo sapiens	21	Y	10.0	M	10	10.0		35.0			20.0			yr										N	21	N	10	('methylxanthine', 'alcohol')	(21, 21)				Y	21.0																																																																																																																																																																																							
1	plasma	caffeine	thalf	h	1426			659.0	4.3	0.32299999999999995	0.237			1.02							dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					Beach1986	659	control	10	homo sapiens	21	Y	10.0	M	10	10.0		35.0			20.0			yr										N	21	N	10	('methylxanthine', 'alcohol')	(21, 21)				Y	21.0																																																																																																																																																																																							
2	plasma	caffeine	vd	l	1426			659.0	52.5	2.11	0.127			6.66							dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					Beach1986	659	control	10	homo sapiens	21	Y	10.0	M	10	10.0		35.0			20.0			yr										N	21	N	10	('methylxanthine', 'alcohol')	(21, 21)				Y	21.0																																																																																																																																																																																							
3	plasma	caffeine	cmax	µg/ml	1426			659.0	3.34	0.215	0.204			0.68							dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					Beach1986	659	control	10	homo sapiens	21	Y	10.0	M	10	10.0		35.0			20.0			yr										N	21	N	10	('methylxanthine', 'alcohol')	(21, 21)				Y	21.0																																																																																																																																																																																							
4	plasma	caffeine	tmax	h	1426			659.0	1.08	0.256	0.75			0.81							dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					Beach1986	659	control	10	homo sapiens	21	Y	10.0	M	10	10.0		35.0			20.0			yr										N	21	N	10	('methylxanthine', 'alcohol')	(21, 21)				Y	21.0																																																																																																																																																																																							
5	plasma	caffeine	concentration	µg/ml	1426			659.0	['1.66e+00', '2.12e+00', '2.61e+00', '3.00e+00', '2.92e+00', '2.82e+00', '2.55e+00', '2.31e+00', '2.03e+00', '1.50e+00', '1.03e+00', '7.30e-01', '4.90e-01']	['1.40e+00', '1.76e+00', '2.01e+00', '2.62e+00', '2.66e+00', '2.61e+00', '2.31e+00', '2.13e+00', '1.89e+00', '1.36e+00', '9.50e-01', '6.80e-01', '4.50e-01']	['2.67e+00', '2.63e+00', '2.44e+00', '2.76e+00', '2.88e+00', '2.93e+00', '2.86e+00', '2.92e+00', '2.94e+00', '2.87e+00', '2.92e+00', '2.95e+00', '2.90e+00']	h	['1.67e-01', '3.33e-01', '5.00e-01', '6.67e-01', '8.33e-01', '1.00e+00', '2.00e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']		/media/data/Beach1986_Fig1.png	18.473333333333333	0.15625562853646105				dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					Beach1986	659	control	10	homo sapiens	21	Y	10.0	M	10	10.0		35.0			20.0			yr										N	21	N	10	('methylxanthine', 'alcohol')	(21, 21)				Y	21.0																																																																																																																																																																																							
6	plasma	caffeine	clearance	l/h	1426			660.0	20.0	0.9470000000000001	0.157			3.14							dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					Beach1986	660	recovering alcoholics	11	homo sapiens	21	Y	11.0	('F', 'M')	(2, 9)	11.0		35.0			19.0			yr										N	21	('N', 'Y')	(2, 9)	('methylxanthine', 'alcohol')	(21, 21)				Y	21.0																																																																																																																																																																																							
7	plasma	caffeine	thalf	h	1426			660.0	2.19	0.133	0.201			0.44							dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					Beach1986	660	recovering alcoholics	11	homo sapiens	21	Y	11.0	('F', 'M')	(2, 9)	11.0		35.0			19.0			yr										N	21	('N', 'Y')	(2, 9)	('methylxanthine', 'alcohol')	(21, 21)				Y	21.0																																																																																																																																																																																							
8	plasma	caffeine	vd	l	1426			660.0	63.4	3.92	0.205			13.0							dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					Beach1986	660	recovering alcoholics	11	homo sapiens	21	Y	11.0	('F', 'M')	(2, 9)	11.0		35.0			19.0			yr										N	21	('N', 'Y')	(2, 9)	('methylxanthine', 'alcohol')	(21, 21)				Y	21.0																																																																																																																																																																																							
9	plasma	caffeine	cmax	µg/ml	1426			660.0	2.83	0.20800000000000002	0.244			0.69							dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					Beach1986	660	recovering alcoholics	11	homo sapiens	21	Y	11.0	('F', 'M')	(2, 9)	11.0		35.0			19.0			yr										N	21	('N', 'Y')	(2, 9)	('methylxanthine', 'alcohol')	(21, 21)				Y	21.0																																																																																																																																																																																							
10	plasma	caffeine	tmax	h	1426			660.0	0.65	0.0935	0.47700000000000004			0.31							dosing	oral	mg	caffeine	h	200.0	0.0	solution	single dose					Beach1986	660	recovering alcoholics	11	homo sapiens	21	Y	11.0	('F', 'M')	(2, 9)	11.0		35.0			19.0			yr										N	21	('N', 'Y')	(2, 9)	('methylxanthine', 'alcohol')	(21, 21)				Y	21.0																																																																																																																																																																																							
